Ship Name,Abbreviation,Type,Co. Reference,LOA,Beam,Draught,Grt,Net Tonnag,Port Of Registration,Date,Nationality,Dead Weight,LRN
WILLDART,WDAR,TUG,57668,14,6,,0,,,,,,
WILLEM B,WILB,TUG,COMDCK,18.4,5,2,1,1,,,NETHERLANDS,1,8433681
WILLENDEAVOUR,WEND,TUG,57668,22,9,3,136,1,,,BRITISH,1,8668353
WILLPOWER,WIPO,TUG,57668,22.5,7.25,3.18,140,36,SOUTHAMPTON,30/04/2014 00:00,UNITED KINGDOM,62,9220691
WILLPOWER-DNU,WPOW,TUG,COMDCK,19.5,6,2,120,,SOUTHAMPTON,01/01/1995 00:00,UNTIED KINGDOM,,9059262
WILLSUPPLY,WISU,MISCELLANEOUS,57668,22.5,,1.8,0,,,,,,
WILSON FEDJE ,WILFED ,FREIGHTER,507300,89.93,15.66,6,3.56,1.59,BRIDGETOWN,01/01/2012 00:00,BARBADOS,4.5,9491757
WILSON FLEX IV,WIL FEL ,FREIGHTER,563504,88.5,14.5,5.7,2995,,MADEIRA,01/11/2022 00:00,PORTUGAL,,9911460
WILSON JUPITER,WILS,FREIGHTER,563504,87.97,11.8,5.4,2281,1229,SAINT JOHN'S,10/04/2021 00:00,ANTIGUA & BARBUDA,3629,9411795
WILSON MONSOON,WIL,FREIGHTER,563504,90.6,13.8,4.3,2035,1168,BRIDGETOWN,,BARDADOS,2780,
WILSON PARNU ,WILPAR,FREIGHTER,507300,89.8,14.5,6.3,2990,,BERGEN ,,NORWAY ,,9373541
WILSON POLICE,WILPOL,FREIGHTER,507300,89.8,14.5,6.3,2.99,1.69,BERGEN,01/01/2007 00:00,NORWAY,4998,9373539
WILSON SKAW ,SKAW,FREIGHTER,563504,112.7,15.2,6.68,4197,2033,BRIDGETOWN,03/12/2014 00:00,BARBADOS,6460,8918459
WILSON WISLA,WILW,FREIGHTER,563504,82.35,11460,4.8,1864,938,BRIDGETOWN,01/01/1996 00:00,,2517,9156175
WIND SOLUTION,WINDSO,FERRY,507300,122.71,19,5,8893,2667,LONDON,,UNITED KINGDOM,1845,6918560
WIND SURF,WSURF,CRUISE,20162,187.2,20,13,14745,5056,NASSUA,01/05/2007 00:00,BAHAMAS,1654,9700785
WINGS,WIN,FREIGHTER,507300,87,12.98,5.08,2351,1206,ST JOHNS,01/01/1989 00:00,ANTIGUA&BARBUDA,3432,8801113
WORLD EXPLORER,WEXP,CRUISE,507300,134,19,,9300,,,,MADEIRA,,
WORLD NAVIGATOR,WORLDNAV,CRUISE,20162,126,18,4,9300,2812,MADEIRA,23/08/2020 00:00,PORTUGAL,1123,9871531
WORLD VOYAGER,WVOYAGER,CRUISE,20162,126,18,4,9300,2812,MADEIRA,10/05/2019 00:00,PORTUGAL ,1103,9871529
WYEFORCE,AWY,TUG,610025,19.2,6.1,2.6,57,,,,UNITED KINGDOM,,
YORKSHIREMAN,YORK,TUG,934842,24.39,9,4,144,136,HULL,01/09/2007 00:00,UK,97,9655884
ZEA BREMEN,ZEA,FREIGHTER,563504,156.76,,7.8,10.9,5.77,MONROVIA,01/01/2016 00:00,LIBERIA,12.77,9273791
ZENIT,ZEN,FREIGHTER,20195,152,23,9,13312,4796,MONROVIA,,LIBERIA,12848,8700228
ZENOBE GRAMME,OBE,MISCELLANEOUS,635040,28,6.8,2.1,999999,,BELGIUM ,01/12/1961 00:00,,,4515780
