Ship Name,Abbreviation,Type,Co. Reference,LOA,Beam,Draught,Grt,Net Tonnag,Port Of Registration,Date,Nationality,Dead Weight,LRN
CHARLES ISLAND,CHAR,FREIGHTER,28813,178.5,25,9,14061,6900,NASSAU,,BAHAMAS,14140,9059626
CHILE STAR,CHI,FREIGHTER,28813,150.35,22,9,10629,4253,MONROVIA,01/08/1993 00:00,LIBERIA,10582,9017276
CLARITY,CLAR,FREIGHTER,507300,88.6,12.51,5.42,2545,1460,PEEL,01/07/2022 00:00,UNITED KINGDOM,3796,9370305
CLIFFWATER,CLIF,FUEL BARGE,202362,91.29,12,5,2144,920,PAPEMDRECHT,,NETHERLANDS,3701,9229532
CMA CGM AGADIR,CMAAGA,FREIGHTER,28813,139.1,22,8,9981,4900,ANTIGUA,04/09/2008 00:00,,11500,9362956
CMA CGM ARISTOTE,CMAARIS,FREIGHTER,28813,171,27,9,17594,7181,LONDON,01/07/2007 00:00,UNITED KINGDOM,21267,9360154
CMA CGM HERODOTE,CMAHER,FREIGHTER,28813,171,27,9,17594,7171,LONDON,01/03/2007 00:00,UNITED KINGDOM,18860,9360142
CMA CGM HOMERE,CMAHOM,FREIGHTER,28813,170,27,9,17594,7181,LONDON,23/03/2007 00:00,UNITED KINGDOM,21264,9362322
CMA CGM MEKNES,CMAMEK,FREIGHTER,28813,138.13,22,8,9996,4900,SAINT JOHNS,,ANTIGUA,11775,9435820
CMA CGM PLATON,CMAPLAT,FREIGHTER,28813,171,27,9,17594,7181,LONDON,01/10/2007 00:00,UNITED KINGODM,19430,9362437
CMS WARRIOR,CMS,TUG,566408,22.73,10,4,161,,,,,,9765184
COE MINA,COEM,FREIGHTER,563504,87.99,11.54,5.24,2064,1074,LIMASSOL,01/01/1985 00:00,CYPRUS,3357,8509820
COLD STREAM,COLD,FREIGHTER,28813,140,22,9.3,8414,4542,WILLEMSTAD,,,10086,
COLOMBIAN STAR,COLOMSTAR,FREIGHTER,28813,184.8,24,9,15292,7414,MONROVIA,,LIBERIA,15000,9172480
COLUMBUS,COL,CRUISE,28813,247,32,8.2,63500,,,,,,
COLUMBUS 2,COL2,CRUISE,20162,181,25,5,30277,11481,MAJURO,24/01/1998 00:00,MARSHALL ISL,2700,9156462
COMMODORE CLIPPER,CCL,FERRY,163081,129.14,23,5,14000,4201,,,,,9201750
COMMODORE GOODWILL,CGO,FERRY,163081,126.4,21,6,11166,3350,NASSAU,01/01/1996 00:00,BAHAMAS,,9117985
COMOROS STREAM,COMO STRM,FREIGHTER,28813,155,24,10,11382,6408,PANAMA,,PANAMA,12906,9167801
COMPASS,COMP,TUG,20195,33.7,10,4,451,135,WILLEMSTAD,27/09/2012 00:00,NETHERLAND,,9534078
CONDOR ISLANDER,CISL,FERRY,163081,125,,,13906,,,,,,
CONDOR LIBERATION,CON LIB,FERRY,163081,102,28,,6307,,NASSAU,01/01/2010 00:00,,680,9551363
CONDOR RAPIDE,CRAPIDE,FERRY,163081,87.9,,,5005,,NASSAU,,,,9161560
CONDOR VOYAGER,CONV,WAVE PIERCING CRAFT,163081,97.22,26,3,6581,2514,,,,750,9221358
CONFORMITY       ,CONY,FREIGHTER,507300,88.6,12.158,5.3,2545,1460,PEEL,01/07/2021 00:00,UNITED KINGDOM,3859,9370288
CONMAR AVENUE,CONM,FREIGHTER,28813,151.72,23,8,10585,5372,SAINT JOHNS,16/05/2012 00:00,GERMAN,12878,9483358
CONMAR GULF,CNGF,FREIGHTER,644009,129.56,20.6,7.4,7545,3165,MADEIRA,,PORTUGAL,8146,9341964
CONMAR ISLAND,CONISL,FREIGHTER,28813,138.15,21,7,8032,3615,LIMASSOL,31/12/2012 00:00,CYPRUS,10408,9360996
CONNEMARA,CONN,FERRY,20212,186.63,25.6,6.15,27414,,LIMMASOL,,FRENCH,,9349760
CONSTANCE,CONST,MISCELLANEOUS,CASH,44,8,2,418,125,THE CREEK - CAYMAN ISLANDS,01/04/1986 00:00,,,1003176
CONSTANCE.,CONSTA,FREIGHTER,,86,12.4,5.3,2415,1036,GIBRALTAR,01/01/2011 00:00,GIBRALTAR,3196,9505338
CONTAINERSHIPS NORD,SNOR,FREIGHTER,28813,169.95,26.9,9.6,17982,9861,NICOSIA,12/12/2018 00:00,CYPRUS,27272,9813993
CONTENDER,CONTD,DREDGER,480211,87.85,,4,2520,756,BEVERWIJK,26/06/1998 00:00,NETHERLANDS,3155,9184665
CONTI SALOME,CONSAL,FREIGHTER,28813,204.42,28,15,22801,11010,MONROVIA,01/04/2007 00:00,LIBERIA,30573,9357080
CORALWATER,CORAL,MISCELLANEOUS,20195,93.44,10,4,1895,881,PAPENDRECHT,,NETHERLANDS,3347,9004164
CORINTHIAN,CORIN,CRUISE,20162,88.32,15,8,4077,1223,VALLETTA,01/05/2011 00:00,MALTA,2420,8708672
CORONA J,CORJ,FREIGHTER,28813,161.1,25,9,16129,6440,SAINT JOHNS,01/06/2006 00:00,ANTIGUA&BARBUDA,16794,9238686
COSTA LA LUZ,COSTA LA LUZ,DREDGER,202362,94,,,3529,,,,,4907,9145217
COSTA RICAN STAR,CR STAR,FREIGHTER,28813,184.8,24,9,15058,7480,MONROVIA,,LIBERIA,14726,9150822
COTE D'ALBATRE,COTE DAL,FERRY,COMDCK,142.45,24,5,18940,5527,DIEPPE,,FRANCE,3608,9320128
COTE DIVOIRIAN STAR,COTEDSTAR,FREIGHTER,28813,184.8,24,9,15292,7414,MONROVIA,,LIBERIA,15000,9172478
COTENTIN,COTENTIN,FERRY,20212,165,26,6,19909,5972,CHERBOURG,04/12/2007 00:00,FRENCH,6200,9364978
COUTANCES,COUT,FERRY,20212,125.53,17,4,6507,1626,LE HARVE,01/03/1978 00:00,FRANCE,1779,7528477
CROWN EMERALD,CEMER,FREIGHTER,20195,151.99,23,8,10519,5406,SINGAPORE,22/12/1995 00:00,SINGAPORE,10351,9128037
CROWN EMMA,CEMMA,FREIGHTER,20195,152,,8,10519,5406,BRIDGETOWN,01/09/2014 00:00,BARBADOS,10351,9128307
CROWN GARNET,CGARNET,FREIGHTER,28813,151.99,23,7,10519,5406,PANAMA,,PANAMA,10322,9128049
CROWN JADE,CJADE,FREIGHTER,20195,151.99,23,8,10519,5406,PANAMA,01/01/2006 00:00,PANAMA,10342,9128051
CROWN OPAL,COPAL,FREIGHTER,20195,151.9,23,8,10519,5406,PANAMA,01/01/2006 00:00,PANAMA,10316,9128063
CROWN RUBY,CRUBY,FREIGHTER,20195,151.99,23,8,10519,5406,PANAMA,01/01/1997 00:00,PANAMA,10338,9159103
